BUILDING IRN,BUILDING NAME,DISTRICT IRN,DISTRICT NAME,ADDRESS,CITY,STATE,ZIP CODE,PHONE,PRINCIPAL,COUNTY,GRADE SPAN,INDICATORS MET GRADE,PERFORMANCE INDEX SCORE GRADE,4-YEAR GRADUATION RATE GRADE,5-YEAR GRADUATION RATE GRADE,OVERALL VALUE-ADDED GRADE,GIFTED VALUE-ADDED GRADE,LOWEST 20% VALUE-ADDED GRADE,SWD VALUE-ADDED GRADE,AMO GRADE,K-3 LITERACY IMPROVEMENT GRADE,ACHIEVEMENT COMPONENT GRADE,GRADUATION COMPONENT GRADE,PROGRESS COMPONENT GRADE,GAP CLOSING COMPONENT GRADE,K-3 LITERACY COMPONENT GRADE,PREPARED FOR SUCCESS GRADE
000298,Summit Academy Secondary - Akron,000298,Summit Academy Secondary - Akron,464 S Hawkins Ave,Akron,OH,44320-1228,(330) 434-2343,Ralph E. Grant,Summit,9-12,F,D,B,C,F,NR,C,D,NR,NR,F,C,D,NR,NR,F
000300,Summit Academy Secondary - Canton,000300,Summit Academy Secondary - Canton,2400 Cleveland Ave NW,Canton,OH,44709-3613,(330) 453-8547,Lisa M. Cook,Stark,9-12,F,F,F,D,D,NR,C,D,NR,NR,F,F,C,NR,NR,F
000301,Summit Academy Secondary - Lorain,000301,Summit Academy Secondary - Lorain,301 Collingwood Blvd,Toledo,OH,43604-2134,(419) 243-1815,,Lorain,K-12,F,F,F,D,B,NR,A,B,NR,NR,F,D,A,NR,NR,F
000302,Summit Academy Community School-Parma,000302,Summit Academy Community School-Parma,5868 Stumph Rd,Parma,OH,44130-1736,(440) 888-5407,Charlotte A. Ray,Cuyahoga,K-12,F,D,F,D,A,NR,A,A,F,C,F,F,A,F,C,F
000303,Summit Academy Secondary - Youngstown,000303,Summit Academy Secondary - Youngstown,2800 Shady Run Rd,Youngstown,OH,44502-2770,(234) 228-8235,Kevin L. Sheely,Mahoning,8-12,F,F,F,F,F,NR,C,F,F,NR,F,F,D,F,NR,F
000304,Summit Academy Community School-Toledo,000304,Summit Academy Community School-Toledo,1853 South Ave,Toledo,OH,43609-2086,(419) 385-5730,Julie A. Kadri,Lucas,K-8,F,F,NR,NR,D,NR,D,C,F,D,F,NR,C,F,D,NR
000305,Summit Academy Community School-Warren,000305,Summit Academy Community School-Warren,2106 Arbor Ave SE,Warren,OH,44484-5225,(330) 369-4233,Allison R. Glass,Trumbull,K-7,F,F,NR,NR,A,NR,A,A,F,B,F,NR,A,F,B,NR
000306,Summit Academy Community School - Cincinnati,000306,Summit Academy Community School - Cincinnati,1660 Sternblock Ln,Cincinnati,OH,45237-3805,(513) 321-0561,Donna J. Fields,Hamilton,K-8,F,F,NR,NR,C,NR,D,C,F,C,F,NR,C,F,C,NR
000311,Bridges Community Academy,000311,Bridges Community Academy,190 St Francis Ave,Tiffin,OH,44883-3475,(419) 455-9295,Catherine M. Smith,Seneca,K-12,F,F,NR,B,F,NR,C,D,F,NR,F,B,D,F,NR,D
000315,Alexander Jr. / Sr. High School,045906,Alexander Local,6125 School Rd,Albany,OH,45710-8904,(740) 698-8831,Franklin J. Doudna,Athens,6-12,F,C,A,A,A,A,C,D,F,NR,D,A,B,F,NR,D
000316,Constellation Schools: Westpark Community Middle,000316,Constellation Schools: Westpark Community Middle,5730 Broadview Rd,Parma,OH,44134-1602,(216) 251-7200,Mindy D. Kidd,Cuyahoga,K-12,F,D,NR,NR,F,NR,B,A,D,NR,D,NR,C,D,NR,NR
000318,Menlo Park Academy,043786,Cleveland Municipal,14440 Triskett Rd,Cleveland,OH,44111-2263,(440) 925-6365,,Cuyahoga,K-9,A,B,NR,NR,F,F,NR,NR,A,NR,B,NR,F,A,NR,NR
000319,Constellation Schools: Madison Community Elementary,000319,Constellation Schools: Madison Community Elementary,2015 W 95th St,Cleveland,OH,44102-3727,(216) 651-5212,Louis A. Marconi,Cuyahoga,K-8,F,F,NR,NR,F,NR,F,D,F,D,F,NR,D,F,D,NR
000320,Constellation Schools: Lorain Community Middle,000320,Constellation Schools: Lorain Community Middle,5730 Broadview Rd,Parma,OH,44134-1602,(440) 242-2023,Melisa R. Shady,Lorain,K-12,F,D,NR,NR,F,NR,D,F,F,NR,D,NR,D,F,NR,NR
000321,Constellation Schools: Old Brooklyn Community Middle,000321,Constellation Schools: Old Brooklyn Community Middle,5730 Broadview Rd,Parma,OH,44134-1602,(216) 351-0280,Cherie Kaiser,Cuyahoga,K-12,F,D,NR,NR,F,NR,C,C,F,NR,D,NR,D,F,NR,NR
000338,Horizon Science Academy Toledo,000338,Horizon Science Academy Toledo,2600 W Sylvania Ave,Toledo,OH,43613-4300,(419) 474-3350,AYDIN KARA,Lucas,K-12,F,F,F,F,F,NR,F,C,F,F,F,F,D,F,F,F
000342,Youngstown Virtual Academy,045161,Youngstown City,20 W Wood St,Youngstown,OH,44503-1028,(330) 744-8750,Rick E. Gurski,Mahoning,9-12,F,NR,F,F,D,NR,C,NR,NR,NR,F,F,C,NR,NR,F
000345,Elmwood Elementary School,050682,Elmwood Local,7650 Jerry City Rd,Bloomdale,OH,44817-9763,(419) 655-2583,Gerald B. Dulle,Wood,"K-4,P",D,B,NR,NR,C,C,C,C,A,D,C,NR,C,A,D,NR
000348,Palm Elementary School,044263,Lorain City,2319 E 34th St,Lorain,OH,44055-2027,(440) 277-1240,Deborah A. Pustulka,Lorain,K-5,F,D,NR,NR,F,NR,F,C,F,C,D,NR,D,F,C,NR
000349,Upper Scioto Valley Middle School,047522,Upper Scioto Valley Local,510 South Courtright Street,Mc Guffey,OH,45859,(419) 757-3231,Craig M. Hurley,Hardin,7-8,F,D,NR,NR,C,B,B,B,F,NR,D,NR,B,F,NR,NR
000350,Granger Elementary School,048496,Highland Local,3940 Ridge Rd,Medina,OH,44256-8618,(330) 239-1901,LeAnn J. Gausman,Medina,"K-5,P",B,B,NR,NR,A,A,NR,A,D,NR,B,NR,A,D,NR,NR
000351,Ulysses S. Grant Middle School,044339,Marion City,420 Presidential Dr,Marion,OH,43302-5173,,Robert K. Ballinger,Marion,6-8,F,D,NR,NR,A,C,C,C,F,NR,D,NR,B,F,NR,NR
000352,William McKinley Elementary School,044339,Marion City,925 Chatfield Rd,Marion,OH,43302-7110,(740) 223-4600,Matthew A. Holsinger,Marion,"K-5,P",F,D,NR,NR,F,F,F,D,F,D,F,NR,D,F,D,NR
000356,Genoa Elementary,048942,Genoa Area Local,2820 N Genoa Clay Center Rd,Genoa,OH,43430-9730,(419) 855-7741,Brenda A. Murphy,Ottawa,K-5,D,B,NR,NR,C,C,F,F,B,C,C,NR,C,B,C,NR
000362,Bridges Learning Center,043489,Akron City,888 Jonathan Ave,Akron,OH,44306-4201,(330) 794-4191,Stephanie M. Davis,Summit,K-8,F,F,NR,NR,F,NR,F,F,F,NR,F,NR,F,F,NR,NR
000363,Akron Alternative Academy,043489,Akron City,77 W Thornton St,Akron,OH,44311-1357,(330) 761-3262,Rebecca J. Green-Pallotta,Summit,9-12,F,F,F,F,F,NR,D,NR,F,NR,F,F,D,F,NR,F
000364,Allen East High School,045757,Allen East Local,9105 Harding Hwy,Harrod,OH,45850-9485,(419) 648-3333,Keith B. Baumgartner,Allen,9-12,F,D,A,A,F,A,D,C,B,NR,D,A,D,B,NR,D
000382,Crestwood Primary School,049189,Crestwood Local,11256 Bowen Rd,Mantua,OH,44255-9454,(330) 357-8202,CYNTHIA A. DUCCA,Portage,"K-2,P",NR,NR,NR,NR,NR,NR,NR,NR,NR,C,NR,NR,NR,NR,C,NR
000383,Crestwood Intermediate School,049189,Crestwood Local,11260 Bowen Rd,Mantua,OH,44255-9454,(330) 357-8203,Michelle S. Gerbrick,Portage,"3-5,UNG",D,B,NR,NR,D,D,B,B,C,D,C,NR,C,C,D,NR
000384,Chieftain Elementary School,044248,Logan-Hocking Local,28296 Chieftain Dr,Logan,OH,43138-9557,(740) 385-1171,Debra M. Heath,Hocking,"K-4,P",D,B,NR,NR,A,C,NR,A,A,C,B,NR,B,A,C,NR
000385,Hocking Hills Elementary School,044248,Logan-Hocking Local,19197 State Route 664 S,Logan,OH,43138-9536,(740) 385-7071,Kevin A. Rice,Hocking,"K-4,P",F,C,NR,NR,B,NR,NR,D,F,C,C,NR,B,F,C,NR
000387,Central Elementary School,044248,Logan-Hocking Local,445 N Market St,Logan,OH,43138,(740) 380-4664,Lisa M. Van Horn,Hocking,"K-4,P",B,B,NR,NR,A,NR,B,A,A,C,B,NR,A,A,C,NR
000388,Gateway Elementary School,043810,Conneaut Area City,229 Gateway Av,Conneaut,OH,44030,(440) 593-7280,Dawn M. Zappitelli,Ashtabula,3-5,F,C,NR,NR,A,C,A,A,D,D,D,NR,B,D,D,NR
000389,Lakeshore Primary Elementary School,043810,Conneaut Area City,755 Chestnut St,Conneaut,OH,44030-1448,(440) 593-7250,Wendy S. Tisch,Ashtabula,K-2,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
000396,Mansfield Elective Academy,012931,Office of School Sponsorship,215 N Trimble Rd,Mansfield,OH,44906-2630,(567) 247-4475,David W. Shirley,Richland,K-12,NR,F,NR,NR,B,NR,NR,NR,NR,NR,F,NR,B,NR,NR,NR
000398,Allen Elementary School,043745,Chillicothe City,174 Plyleys Ln,Chillicothe,OH,45601-2006,(740) 774-1119,Joanna L. Bradley,Ross,K-6,D,B,NR,NR,A,B,B,C,A,C,C,NR,B,A,C,NR
000400,Mapleton Elementary School,045831,Mapleton Local,2 Mountie Dr,Ashland,OH,44805,(419) 945-2188,Luann F. Kunisch,Ashland,K-5,F,C,NR,NR,A,B,C,C,F,C,C,NR,B,F,C,NR
000406,Allen Elementary School,043711,Canton City,1326 Sherrick Rd SE,Canton,OH,44707-3531,(330) 453-2782,Christen A. Sedmock,Stark,"K-2,P",NR,NR,NR,NR,NR,NR,NR,NR,NR,C,NR,NR,NR,NR,C,NR
000417,Buckeye On-Line School for Success,000417,Buckeye On-Line School for Success,119 E Fifth St,East Liverpool,OH,43920-3030,(330) 385-1987,,Columbiana,"K,1-12,PS",F,D,F,F,F,NR,C,D,F,NR,F,F,D,F,NR,F
000429,Jackson Westview Elementary School,044156,Jackson City,16349 Beaver Pike,Jackson,OH,45640-9005,(740) 286-6442,Karen P. Ochsenbein,Jackson,"P,K,1-5,SN",D,B,NR,NR,A,B,D,A,B,C,C,NR,B,B,C,NR
000435,Eastgate Elementary School,043802,Columbus City,1925 Stratford Way,Columbus,OH,43219-2946,(614) 365-6132,India N. Wilson,Franklin,"K-5,P",F,F,NR,NR,F,NR,F,NR,F,D,F,NR,F,F,D,NR
000448,Allen East Elementary School,045757,Allen East Local,9105 Harding Hwy,Harrod,OH,45850-9485,(419) 648-3333,Larry D. Altenburger,Allen,K-5,C,B,NR,NR,A,NR,C,C,A,B,B,NR,B,A,B,NR
000450,Manchester High School,000442,Manchester Local,130 Wayne Frye Dr,Manchester,OH,45144-9314,(937) 549-4777,James L. Wilkins II,Adams,"7-12,PS",F,D,A,A,A,NR,A,C,F,NR,D,A,B,F,NR,F
000451,Manchester Elementary School,000442,Manchester Local,130 Wayne Frye Dr,Manchester,OH,45144-9314,(937) 549-4777,Nicholas K. Roberts,Adams,"K-6,P",F,C,NR,NR,A,NR,A,A,F,B,C,NR,A,F,B,NR
000455,West Elementary,050393,Vinton County Local,57710 US Highway 50,Mc Arthur,OH,45651-8859,(740) 596-5236,Mary Ann Hale,Vinton,"K-5,P",D,B,NR,NR,A,C,NR,C,A,B,B,NR,B,A,B,NR
000463,Alliance High School,043497,Alliance City,400 Glamorgan St,Alliance,OH,44601-2810,(330) 829-2245,Shawn C. Jackson,Stark,9-12,F,C,C,D,A,A,C,D,B,NR,D,C,B,B,NR,D
000470,Independence Elementary School,044222,Lima City,615 Tremont Ave,Lima,OH,45801,(419) 996-3330,Matthew C. Quatman,Allen,K-4,F,D,NR,NR,C,NR,C,B,C,C,D,NR,B,C,C,NR
000471,Sharpsburg Primary,044578,Norwood City,4321 Forest Ave,Norwood,OH,45212-3332,(513) 924-2650,Joseph C. Westendorf,Hamilton,"K-2,P",NR,NR,NR,NR,NR,NR,NR,NR,NR,C,NR,NR,NR,NR,C,NR
000472,Liberty Arts Magnet K-8,044222,Lima City,338 W Kibby St,Lima,OH,45804-1168,(419) 996-3320,Angela S. Heffner,Allen,K-8,F,C,NR,NR,C,NR,B,NR,F,C,D,NR,B,F,C,NR
000475,Bluestone Elementary School,043950,Euclid City,1455 E 260th St,Euclid,OH,44132-3107,(216) 797-6300,Lynnette Stevens,Cuyahoga,K-5,F,F,NR,NR,F,NR,F,C,F,D,F,NR,D,F,D,NR
000489,Almira,043786,Cleveland Municipal,3375 W 99th St,Cleveland,OH,44102-4642,(216) 838-6150,James Greene,Cuyahoga,K-8,F,F,NR,NR,F,NR,F,F,F,C,F,NR,F,F,C,NR
000491,Bowman Primary School,044214,Lebanon City,825 Hart Rd.,Lebanon,OH,45036,(513) 934-5800,Sheri A. McHenry,Warren,"K-2,P",NR,NR,NR,NR,NR,NR,NR,NR,NR,B,NR,NR,NR,NR,B,NR
000493,Lebanon Junior High,044214,Lebanon City,160 Miller Rd,Lebanon,OH,45036-1234,(513) 934-5300,Brian S. Dalton,Warren,7-8,F,C,NR,NR,F,D,F,F,F,NR,C,NR,D,F,NR,NR
000497,Alpine Elementary School,043802,Columbus City,1590 Alpine Dr,Columbus,OH,43229-2120,(614) 365-5359,Tawanna O. Williams,Franklin,K-3,F,C,NR,NR,NR,NR,NR,NR,B,C,D,NR,NR,B,C,NR
000501,Ripley Union Lewis Huntington Middle School,046078,Ripley-Union-Lewis-Huntington Local,2300 Rains-Eitel Rd.,Aberdeen,OH,45101-9502,(937) 795-8001,Jerod J. Michael,Brown,5-8,F,D,NR,NR,F,NR,F,F,F,NR,D,NR,F,F,NR,NR
000505,Alton Hall Elementary School,044800,South-Western City,982 Alton Rd,Galloway,OH,43119-8867,(614) 801-8000,Jamie K. Clark,Franklin,K-4,F,D,NR,NR,A,B,A,A,F,B,D,NR,A,F,B,NR
000509,Whitehall Preparatory and Fitness Academy,000509,Whitehall Preparatory and Fitness Academy,3474 E Livingston Ave,Columbus,OH,43227-2279,(614) 324-4585,Matthew T. Dolan,Franklin,K-8,F,F,NR,NR,F,NR,F,C,F,F,F,NR,D,F,F,NR
000510,Springfield Preparatory and Fitness Academy,000510,Springfield Preparatory and Fitness Academy,1615 Selma Rd,Springfield,OH,45505-4245,(937) 323-6250,Darren T. Fansler,Clark,K-8,F,D,NR,NR,F,NR,F,F,F,NR,D,NR,F,F,NR,NR
000511,Northland Preparatory and Fitness Academy,000511,Northland Preparatory and Fitness Academy,1875 Morse Rd,Columbus,OH,43229-6603,(614) 318-0600,Lynn G. Hursey,Franklin,K-8,F,F,NR,NR,F,NR,F,C,F,F,F,NR,D,F,F,NR
000513,Columbus Scioto 6-12,043802,Columbus City,2951 S High St,Columbus,OH,43207-3669,(614) 365-5030,Michelle R. Milner,Franklin,6-12,F,F,F,F,F,NR,F,F,F,NR,F,F,F,F,NR,F
000519,Whiteoak Junior High School,047613,Bright Local,44 North High Street,Mowrystown,OH,45155,(937) 444-2241,Brian Ruckel,Highland,7-8,F,D,NR,NR,C,NR,C,C,F,NR,D,NR,C,F,NR,NR
000520,Youngstown Early College,045161,Youngstown City,Fedor Hall,Youngstown,OH,44555-0001,(330) 740-7923,Monica M. Jones,Mahoning,9-12,F,D,A,A,A,NR,A,NR,D,NR,D,A,A,D,NR,F
000534,Constellation Schools: Puritas Community Middle,000534,Constellation Schools: Puritas Community Middle,5730 Broadview Rd,Parma,OH,44134-1602,(216) 688-0680,Margaret M. Colwell,Cuyahoga,K-12,F,D,NR,NR,A,NR,A,B,F,NR,D,NR,A,F,NR,NR
000539,Amanda-Clearcreek Elementary School,046847,Amanda-Clearcreek Local,328 E Main St,Amanda,OH,43102-9330,(740) 969-7253,Theresa L. Pinkstock,Fairfield,3-5,F,C,NR,NR,A,A,A,A,C,B,C,NR,A,C,B,NR
000541,Constellation Schools: Outreach Academy for Students with Di,000541,Constellation Schools: Outreach Academy for Students with Di,3727 Bosworth Rd,Cleveland,OH,44111-6037,(216) 688-1900,Mary Wideman,Cuyahoga,K-12,NR,F,NR,NR,NR,NR,NR,NR,NR,NR,F,NR,NR,NR,NR,NR
000543,Pinnacle Academy,000543,Pinnacle Academy,860 E 222nd St,Euclid,OH,44123-3317,(216) 731-0127,Charlena R. Dykes-Hunt,Cuyahoga,K-8,F,D,NR,NR,F,NR,F,F,F,C,F,NR,F,F,C,NR
000546,Winterfield Venture Academy,000546,Winterfield Venture Academy,305 Wenz Rd,Toledo,OH,43615-6244,(419) 531-3285,Nathan W. Preston,Lucas,K-8,F,D,NR,NR,B,NR,C,A,F,C,F,NR,B,F,C,NR
000547,Amanda Elementary School,044404,Middletown City,1300 Oxford State Rd,Middletown,OH,45044-7580,(513) 420-4542,Beth F. Hendricks,Butler,"K-5,P",F,D,NR,NR,C,NR,B,B,F,D,D,NR,B,F,D,NR
000553,"Columbus Humanities, Arts and Technology Academy",000553,"Columbus Humanities, Arts and Technology Academy",1333 Morse Rd,Columbus,OH,43229-6322,(614) 261-1200,Alexander C. Adams,Franklin,K-12,F,D,NR,NR,A,NR,A,NR,F,D,D,NR,A,F,D,NR
000556,A+ Arts Academy,000556,A+ Arts Academy,1395 Fair Ave,Columbus,OH,43205-1543,(614) 338-0767,David B. Fant,Franklin,K-12,F,F,NR,NR,F,NR,F,F,F,D,F,NR,F,F,D,NR
000557,Columbus Arts & Technology Academy,000557,Columbus Arts & Technology Academy,2255 Kimberly Pkwy E,Columbus,OH,43232-7210,(614) 577-0900,Derrick R. Shelton,Franklin,K-12,F,D,NR,NR,C,NR,C,NR,F,NR,D,NR,C,F,NR,NR
000558,Columbus Preparatory Academy,000558,Columbus Preparatory Academy,3330 Chippewa St,Columbus,OH,43204-1653,(614) 275-3600,Brian P. Carlton,Franklin,K-12,A,A,NR,NR,F,NR,NR,NR,A,NR,A,NR,F,A,NR,NR
000559,Orion Academy,000559,Orion Academy,1798 Queen City Ave,Cincinnati,OH,45214-1427,(513) 251-6000,Kendell L. Dorsey,Hamilton,K-8,F,D,NR,NR,F,NR,F,D,F,C,F,NR,D,F,C,NR
000560,Apex Academy,000560,Apex Academy,16005 Terrace Rd,Cleveland,OH,44112-2001,(216) 451-1725,Jennifer M. Littlefield,Cuyahoga,K-8,F,F,NR,NR,F,NR,F,F,F,C,F,NR,F,F,C,NR
000562,Amanda-Clearcreek High School,046847,Amanda-Clearcreek Local,328 E Main St,Amanda,OH,43102-9330,(740) 969-7251,Kimberly A. Miller,Fairfield,9-12,F,C,B,A,A,NR,B,D,F,NR,D,A,B,F,NR,D
000575,Hope Academy Northwest Campus,000575,Hope Academy Northwest Campus,1441 W 116th St,Cleveland,OH,44102-2301,(216) 226-6800,Julio S. Alarcon,Cuyahoga,K-12,F,D,NR,NR,A,NR,A,A,F,C,F,NR,A,F,C,NR
000576,King Academy Community School,000576,King Academy Community School,224 W Liberty St,Cincinnati,OH,45202-6990,(513) 421-7519,,Hamilton,K-8,F,D,NR,NR,C,NR,C,NR,F,NR,D,NR,C,F,NR,NR
